Sequence Id,Country,ethnic_info,structure_population
ST551,Korea,-,hpEAsia
ST552,Colombia,-,hpEurope
ST553,Korea,-,hpEAsia
ST554,Korea,-,hpEAsia
ST555,Korea,-,hpEAsia
ST555,Korea,-,hpEAsia
ST556,Colombia,-,hpEurope
ST557,Korea,-,hpEAsia
ST557,Korea,-,hpEAsia
ST558,Colombia,-,hpEurope
ST558,Colombia,-,hpEurope
ST559,Korea,-,hpEAsia
ST560,Korea,-,hpEAsia
ST561,Korea,-,hpEAsia
ST562,Korea,-,hpEAsia
ST563,Korea,-,hpEAsia
ST564,South Africa,-,hpAfrica
ST564,South Africa,-,hpAfrica
ST565,South Africa,-,hpAfrica2
ST566,South Africa,-,hpAsia2
ST566,South Africa,-,hpAsia2
ST567,South Africa,-,hpEurope
ST567,South Africa,-,hpEurope
ST567,South Africa,-,hpEurope
ST567,South Africa,-,hpEurope
ST568,South Africa,-,hpAfrica
ST568,South Africa,-,hpAfrica
ST568,South Africa,-,hpAfrica
ST569,South Africa,-,hpAfrica2
ST569,South Africa,-,hpAfrica2
ST570,South Africa,-,hpAfrica
ST571,South Africa,-,hpAfrica
ST571,South Africa,-,hpAfrica
ST572,South Africa,-,hpAfrica
ST572,South Africa,-,hpAfrica
ST573,South Africa,-,hpAfrica
ST573,South Africa,-,hpAfrica
ST574,South Africa,-,hpAfrica
ST575,South Africa,-,hpAfrica
ST576,South Africa,-,hpAfrica
ST576,South Africa,-,hpAfrica
ST577,South Africa,-,hpAfrica
ST578,South Africa,-,hpAfrica2
ST579,South Africa,-,hpAfrica
ST579,South Africa,-,hpAfrica
ST579,South Africa,-,hpAfrica
ST579,South Africa,-,hpAfrica
ST579,South Africa,-,hpAfrica
ST580,South Africa,-,hpAfrica2
ST580,South Africa,-,hpAfrica2
ST581,South Africa,-,hpAfrica2
ST581,South Africa,-,hpAfrica2
ST582,South Africa,-,hpEurope
ST583,South Africa,-,hpAfrica2
ST583,South Africa,-,hpAfrica2
ST584,South Africa,-,hpAfrica2
ST585,South Africa,-,hpAfrica
ST586,South Africa,-,hpAfrica2
ST587,South Africa,-,hpAfrica
ST587,South Africa,-,hpAfrica
ST588,South Africa,-,hpAfrica
ST589,South Africa,-,hpAfrica
ST590,South Africa,-,hpAfrica
ST591,South Africa,-,hpAfrica2
ST592,South Africa,-,hpEurope
ST593,South Africa,-,hpAfrica2
ST594,UK,-,hpEurope
ST594,UK,-,hpEurope
ST595,UK,-,hpEurope
ST596,UK,-,hpEurope
ST597,UK,-,hpEurope
ST597,UK,-,hpEurope
ST608,Taiwan,Native Taiwanese,hspMaori
ST610,Venezuela,Mestizo,hspWAfrica
ST611,Colombia,Mestizo,hpEurope
ST612,Lebanon,Lebanese,hpEurope
ST613,Lebanon,Lebanese,hpEurope
ST614,Morocco,-,hspWAfrica
ST621,Malaysia,unknown,hspEAsia
ST623,Australia,Aboriginal,hpSahul
ST623,Australia,Aboriginal,hpSahul
ST625,Australia,Aboriginal,hpEurope
ST626,Australia,Aboriginal,hspSAfrica
ST628,Australia,Aboriginal,hpEurope
ST632,Taiwan,Chinese,hspEAsia
ST633,Taiwan,Chinese,hspEAsia
ST634,Turkey,Turk,hpEurope
ST638,Nigeria,Kanuri,hpNEAfrica
ST648,Colombia,Mestizo,hpEurope
ST651,Taiwan,Native Taiwanese,hspMaori
ST652,Spain,Basque,hpEurope
ST654,Kazakhstan,Kazakh,hpEurope
ST655,Kazakhstan,Kazakh,hpEurope
ST656,Kazakhstan,Kazakh,hpEurope
ST659,Spain,Basque,hpEurope
ST660,Japan,Japanese,hspEAsia
ST662,Australia,Aboriginal,hspWAfrica
ST662,Australia,Aboriginal,hspWAfrica
ST662,Australia,Aboriginal,hspWAfrica
ST662,Australia,Aboriginal,hspWAfrica
ST662,Australia,Aboriginal,hspWAfrica
ST662,Australia,Aboriginal,hspWAfrica
ST664,Australia,Aboriginal,hpEurope
ST666,Vietnam,Vietnamese,hspEAsia
ST673,Turkey,Turk,hpEurope
ST674,Taiwan,Native Taiwanese,hspMaori
ST686,Philippines,-,hpEurope
ST687,Philippines,unknown,hspMaori
ST690,Papua New Guinea,Highlander,hpSahul
ST691,Vietnam,Vietnamese,hspEAsia
ST692,Taiwan,Chinese,hspEAsia
ST693,Taiwan,Chinese,hspEAsia
ST694,Taiwan,Chinese,hspEAsia
ST695,Taiwan,Chinese,hspEAsia
ST696,Nigeria,Kanuri,hpNEAfrica
ST697,Nigeria,Kanuri,hpNEAfrica
ST698,Nigeria,Kanuri,hpNEAfrica
ST699,Nigeria,Kanuri,hpNEAfrica
ST700,Nigeria,Kanuri,hpNEAfrica
ST701,Nigeria,Kanuri,hpNEAfrica
ST702,Ethiopia,-,hpNEAfrica
ST703,Ethiopia,-,hpNEAfrica
ST704,Taiwan,Native Taiwanese,hspEAsia
ST705,Ethiopia,-,hpNEAfrica
ST706,Ethiopia,-,hpNEAfrica
ST707,Ethiopia,-,hpNEAfrica
ST708,Ethiopia,-,hpNEAfrica
ST709,Ethiopia,-,hpNEAfrica
ST710,Ethiopia,-,hpNEAfrica
ST711,Ethiopia,-,hpNEAfrica
ST723,Thailand,unknown,hspEAsia
ST724,Thailand,unknown,hspEAsia
ST725,Thailand,unknown,hspEAsia
ST726,New Caledonia,Polynesian,hspMaori
ST727,New Caledonia,Polynesian,hspMaori
ST736,Spain,Basque,hpEurope
ST747,Australia,Aboriginal,hpEurope
ST758,Australia,Aboriginal,hpEurope
ST759,Japan,Japanese,hspEAsia
ST761,Turkey,Turk,hpEurope
ST762,Philippines,-,hpEurope
ST763,Vietnam,Vietnamese,hspEAsia
ST764,Vietnam,Vietnamese,hspEAsia
ST765,Vietnam,Vietnamese,hspEAsia
ST767,Taiwan,Native Taiwanese,hspMaori
ST768,China,Chinese,hspEAsia
ST769,Spain,Basque,hpEurope
ST777,Vietnam,Vietnamese,hspEAsia
ST778,Germany,German,hpEurope
ST784,Algeria,-,hpNEAfrica
ST785,Russia,Russian,hpEurope
