Sequence Id,Sample Id,Location,Location+Start
DQ422196.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422194.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422193.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422192.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422191.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422190.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422188.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422185.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422184.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422183.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422182.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422181.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422180.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422178.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422177.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422176.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422175.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422174.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422173.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422172.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422171.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422168.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422167.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422166.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422164.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422163.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422162.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422161.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422160.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422158.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422157.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422156.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422155.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422154.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422153.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422152.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422151.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ422150.1,Med0_Jan06,Mediterranean Sea,Med-Mixed
DQ203658.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203657.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203654.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203649.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203648.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203646.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203645.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203643.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203640.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203637.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203636.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203632.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203630.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203629.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203624.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203619.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203618.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203616.1,Med20_May03,Mediterranean Sea,Med-Strat
